"acc_varcompanyname";"ord_cnt";"rsp_cnt";"des_cnt";"rec_cnt";"rsp_prc";"des_prc";"rec_prc"
Донская соляная компания;6;6;6;6;1.0000;1.0000;1.0000
Курскмаслопром;34;34;34;34;1.0000;1.0000;1.0000
ЮНАЙТЕД ДИСТРИБЮШН;8;0;0;8;0.0000;0.0000;1.0000
ТАИР;1;1;1;1;1.0000;1.0000;1.0000
"Лимонадная фабрика ""Майкопская""";7;7;7;7;1.0000;1.0000;1.0000
МИРИМПЭКС;12;12;12;12;1.0000;1.0000;1.0000
Милагро Бевередж Компани;95;0;17;95;0.0000;0.1789;1.0000
Авангард групп;1;0;0;1;0.0000;0.0000;1.0000
ТД БЭЛЗ;2;2;2;2;1.0000;1.0000;1.0000
Аксиома;1;1;1;1;1.0000;1.0000;1.0000
ЛСВ ТРЕЙД;37;35;37;37;0.9459;1.0000;1.0000
Игра Плюс;3;3;3;3;1.0000;1.0000;1.0000
Вологодский молочный продукт;24;24;24;24;1.0000;1.0000;1.0000
Фирма ЭЙС;11;11;0;11;1.0000;0.0000;1.0000
КС-сервис;16;0;13;16;0.0000;0.8125;1.0000
Кубанский бекон;2;2;2;2;1.0000;1.0000;1.0000
Бумагофф;4;4;4;4;1.0000;1.0000;1.0000
Эки;26;26;26;26;1.0000;1.0000;1.0000
ДиаДом;21;21;21;21;1.0000;1.0000;1.0000
"ПКП ""Провансаль";3;3;3;3;1.0000;1.0000;1.0000
Монетный Двор Универс;6;6;0;6;1.0000;0.0000;1.0000
Гиагинский;46;46;46;46;1.0000;1.0000;1.0000
"Торговый Дом ""БРАТЬЯ ГРИМ";7;4;3;7;0.5714;0.4286;1.0000
Богачева Людмила Борисовна;4;4;4;4;1.0000;1.0000;1.0000
Колорит;8;8;8;8;1.0000;1.0000;1.0000
Невский Сахар Петербург;90;35;80;90;0.3889;0.8889;1.0000
Новель;7;7;7;7;1.0000;1.0000;1.0000
Славянский;4;4;4;4;1.0000;1.0000;1.0000
Кошехабльский сыр завод;9;4;1;9;0.4444;0.1111;1.0000
АКРОН;12;0;0;12;0.0000;0.0000;1.0000
Садыков Равиль Аксянович;118;118;118;118;1.0000;1.0000;1.0000
"Торговый Дом""Золотое Яичко""";7;7;7;7;1.0000;1.0000;1.0000
Кострома пластик;3;3;0;3;1.0000;0.0000;1.0000
Солена;9;9;9;9;1.0000;1.0000;1.0000
"ТОРГОВЫЙ ДОМ ""ИНВЕСТПРОМ-ОПТ";8;0;0;8;0.0000;0.0000;1.0000
АПК;9;0;0;9;0.0000;0.0000;1.0000
СК-трейд;9;0;9;9;0.0000;1.0000;1.0000
Экспоторг;2;2;2;2;1.0000;1.0000;1.0000
Регион Ресурс;22;0;0;22;0.0000;0.0000;1.0000
ПродЛогистика;25;25;24;25;1.0000;0.9600;1.0000
Воронежская бумажная фабрика;26;26;26;26;1.0000;1.0000;1.0000
Морская Звезда;5;5;5;5;1.0000;1.0000;1.0000
Аэростар Контракт;61;61;61;61;1.0000;1.0000;1.0000
АВИЛОН;6;6;6;6;1.0000;1.0000;1.0000
Колесников Андрей Геннадьевич;77;77;77;77;1.0000;1.0000;1.0000
Форвард Трейд;5;5;2;5;1.0000;0.4000;1.0000
Диапазон;22;17;22;22;0.7727;1.0000;1.0000
Предприятие ФЭСТ;2;2;2;2;1.0000;1.0000;1.0000
Сызранский рыбокомбинат №2;1;1;1;1;1.0000;1.0000;1.0000
Петробалт Компани;4;0;4;4;0.0000;1.0000;1.0000
Минеральная вода и напитки;13;0;13;13;0.0000;1.0000;1.0000
Восьмая Империя;48;47;48;48;0.9792;1.0000;1.0000
Кузминки-Молоко;11;11;5;11;1.0000;0.4545;1.0000
ФармЛайн;11;11;0;11;1.0000;0.0000;1.0000
ЛАВ ПРОДУКТ;16;16;16;16;1.0000;1.0000;1.0000
АгроПром;4;4;4;4;1.0000;1.0000;1.0000
Агропродукт;2;2;2;2;1.0000;1.0000;1.0000
Валиев Ильдар Фидаильевич;8;8;8;8;1.0000;1.0000;1.0000
Петровский форт;46;46;43;46;1.0000;0.9348;1.0000
"Кондитерская фабрика ""Счастливые дети";11;0;11;11;0.0000;1.0000;1.0000
Ознобихина Людмила Ивановна;10;10;0;10;1.0000;0.0000;1.0000
Фрут Сервис;63;0;0;63;0.0000;0.0000;1.0000
Шишкин Лес Торг;147;147;147;147;1.0000;1.0000;1.0000
Белорусская продовольственная компания;8;8;8;8;1.0000;1.0000;1.0000
ЭкоГрупп Терминал;16;0;0;16;0.0000;0.0000;1.0000
Каргилл;79;79;0;79;1.0000;0.0000;1.0000
ЕСП-Контракт ГмБХ;5;0;5;5;0.0000;1.0000;1.0000
АгроСнабРитейл;285;0;0;285;0.0000;0.0000;1.0000
Эхо;26;26;26;26;1.0000;1.0000;1.0000
БЕСТФУДС;15;5;15;15;0.3333;1.0000;1.0000
Рыба-царь;20;5;18;20;0.2500;0.9000;1.0000
Надежда;5;5;5;5;1.0000;1.0000;1.0000
Агростандарт;18;18;18;18;1.0000;1.0000;1.0000
Волжское;6;5;6;6;0.8333;1.0000;1.0000
Сила Вкуса;81;81;81;81;1.0000;1.0000;1.0000
ЭЛЛАТИКА;7;0;6;7;0.0000;0.8571;1.0000
АСК-Агро;8;0;0;8;0.0000;0.0000;1.0000
С-НОВО;11;5;0;11;0.4545;0.0000;1.0000
Борисоглебский трикотаж;2;2;2;2;1.0000;1.0000;1.0000
Крупы Урала;21;21;21;21;1.0000;1.0000;1.0000
КэшГрупп;9;0;0;9;0.0000;0.0000;1.0000
Семушка;10;10;0;10;1.0000;0.0000;1.0000
Маслозавод Третьяковский;2;2;2;2;1.0000;1.0000;1.0000
Торговый Дом НХК;4;3;4;4;0.7500;1.0000;1.0000
ВСФ Логистик;5;0;0;5;0.0000;0.0000;1.0000
Смайл Плюс;36;36;0;36;1.0000;0.0000;1.0000
Салина Трейд;138;137;4;138;0.9928;0.0290;1.0000
Перспектива;34;23;26;34;0.6765;0.7647;1.0000
Азбука Фуд Трейд;9;0;0;9;0.0000;0.0000;1.0000
Шиндина Надежда Ивановна;20;0;20;20;0.0000;1.0000;1.0000
Оранжевая марка;18;0;0;18;0.0000;0.0000;1.0000
Фарватер-Косметикс;4;4;4;4;1.0000;1.0000;1.0000
Касумов Амир Байрамали оглы;62;62;62;62;1.0000;1.0000;1.0000
СВАМ Групп;6;6;6;6;1.0000;1.0000;1.0000
Пищекомбинат Бежицкий;3;3;2;3;1.0000;0.6667;1.0000
Шитов Николай Петрович;4;4;4;4;1.0000;1.0000;1.0000
"1 Салат";15;15;15;15;1.0000;1.0000;1.0000
КД Слада;5;5;5;5;1.0000;1.0000;1.0000
Кафе Красоты;9;9;9;9;1.0000;1.0000;1.0000
Зеленая Коллекция;1;1;1;1;1.0000;1.0000;1.0000
НПО Агросервис;68;52;52;68;0.7647;0.7647;1.0000
ЕМЕЛЯ РУСЬ;32;32;32;32;1.0000;1.0000;1.0000
АЛЬТЕРВЕСТ ТРЕЙД;3;3;3;3;1.0000;1.0000;1.0000
Лакомка;533;533;533;533;1.0000;1.0000;1.0000
Акиба;55;53;55;55;0.9636;1.0000;1.0000
УК Базис групп;4;4;4;4;1.0000;1.0000;1.0000
Ястребов Владислав Петрович;30;30;30;30;1.0000;1.0000;1.0000
"Техинформсистем ""фирма ""ТИС";5;5;5;5;1.0000;1.0000;1.0000
Ариант плюс один;3;3;3;3;1.0000;1.0000;1.0000
ТД Сково;4;4;4;4;1.0000;1.0000;1.0000
"фруктовая компания ""АГРО";39;25;39;39;0.6410;1.0000;1.0000
Люта;10;10;10;10;1.0000;1.0000;1.0000
Кравченко Валерий Викторович;10;0;0;10;0.0000;0.0000;1.0000
Стимул-колор косметик;5;5;5;5;1.0000;1.0000;1.0000
ТВК-Кубань;10;10;10;10;1.0000;1.0000;1.0000
ВЕСКО;72;72;37;72;1.0000;0.5139;1.0000
ДИАДАР;53;28;51;53;0.5283;0.9623;1.0000
Алтек Трейд;2;2;0;2;1.0000;0.0000;1.0000
ДИАРИТ;2;0;2;2;0.0000;1.0000;1.0000
ОКЕАНСОЮЗ;1;0;1;1;0.0000;1.0000;1.0000
Дерманика-Трейд;14;14;14;14;1.0000;1.0000;1.0000
Мирата;32;32;32;32;1.0000;1.0000;1.0000
А-сантехника;2;2;2;2;1.0000;1.0000;1.0000
Нью Маркетс Менеджмент;3;3;3;3;1.0000;1.0000;1.0000
Тандем-Нижний Новгород;6;0;0;6;0.0000;0.0000;1.0000
ТК Альтернатива;4;0;0;4;0.0000;0.0000;1.0000
Пермь-Агро;68;26;27;68;0.3824;0.3971;1.0000
Птицефабрика Таганрогская;16;0;14;16;0.0000;0.8750;1.0000
Жигулёвское пиво;9;0;9;9;0.0000;1.0000;1.0000
Ручеек;11;11;11;11;1.0000;1.0000;1.0000
Артель;8;4;5;8;0.5000;0.6250;1.0000
АгроОрганик;6;0;0;6;0.0000;0.0000;1.0000
Мишель и К;12;12;12;12;1.0000;1.0000;1.0000
ВОДОЦИКЛ;2;0;0;2;0.0000;0.0000;1.0000
Орион;3;3;3;3;1.0000;1.0000;1.0000
СКБ Контур;2;0;0;2;0.0000;0.0000;1.0000
Торговый Дом Охотоморье;3;3;2;3;1.0000;0.6667;1.0000
Чечельницкая  Анастасия Александровна;56;56;41;56;1.0000;0.7321;1.0000
Уржумский спиртоводочный завод;2;2;0;2;1.0000;0.0000;1.0000
Торговая компания Евразия Фудс;46;46;46;46;1.0000;1.0000;1.0000
Лаванда;12;12;12;12;1.0000;1.0000;1.0000
ТИСИДА;2;2;2;2;1.0000;1.0000;1.0000
"Колбасный цех ""Элита";21;21;21;21;1.0000;1.0000;1.0000
Ведзижев М. Т.;14;5;6;14;0.3571;0.4286;1.0000
Геба;55;55;55;55;1.0000;1.0000;1.0000
