"acc_varcompanyname";"ord_cnt";"rsp_cnt";"des_cnt";"rec_cnt";"rsp_prc";"des_prc";"rec_prc"
Новэкс;1;1;1;1;1.0000;1.0000;1.0000
"1С-Сеть";174;173;173;173;0.9943;0.9943;0.9943
Паляница;2500;0;2433;2476;0.0000;0.9732;0.9904
Розничная сеть Зельгрос;4628;1010;3732;4476;0.2182;0.8064;0.9672
Центр реструктуризации;960;0;869;916;0.0000;0.9052;0.9542
Оглоблин Александр Александрович;1699;1320;590;1615;0.7769;0.3473;0.9506
Т и К Продукты;79667;22615;74524;75183;0.2839;0.9354;0.9437
ДИКСИ ЮГ;112545;32915;39468;105744;0.2925;0.3507;0.9396
Лента;160206;28330;140877;150362;0.1768;0.8793;0.9386
«ТК ПРОГРЕСС»;7278;4215;5933;6825;0.5791;0.8152;0.9378
Спектр Групп;140;64;74;131;0.4571;0.5286;0.9357
Лето;128;122;121;119;0.9531;0.9453;0.9297
Фреш Маркет;709;544;187;655;0.7673;0.2638;0.9238
Солнечный круг;8232;2991;5893;7571;0.3633;0.7159;0.9197
Табыш;1578;737;723;1439;0.4670;0.4582;0.9119
Элемент-Трейд;52324;38422;27800;47510;0.7343;0.5313;0.9080
Кораблик-Р;2485;2319;2391;2254;0.9332;0.9622;0.9070
ОПТОВИК;14801;6300;6483;13406;0.4256;0.4380;0.9057
СЕМЬЯ;6135;3769;3162;5528;0.6143;0.5154;0.9011
Кредо;67;64;64;60;0.9552;0.9552;0.8955
Лев;11087;8733;8962;9736;0.7877;0.8083;0.8781
Пятью пять;5756;5031;5095;4996;0.8740;0.8852;0.8680
НЕРАЛ-Продукт;30;27;27;26;0.9000;0.9000;0.8667
МИЛАН;621;305;550;532;0.4911;0.8857;0.8567
Ритм-2000;5163;1429;1483;4355;0.2768;0.2872;0.8435
"ТД ""Дуслык";3282;1059;2802;2765;0.3227;0.8537;0.8425
Гиперглобус;10343;2309;7849;8699;0.2232;0.7589;0.8411
ПродМир;11410;10301;9784;9578;0.9028;0.8575;0.8394
Петроторг;1308;12;1013;1080;0.0092;0.7745;0.8257
ЭССЕН Логистик;452;145;131;371;0.3208;0.2898;0.8208
Торговый Дом «Камилла;6428;2507;3025;5233;0.3900;0.4706;0.8141
